ID	collection	procedence	GC_ID	n_contigs	tot_length	N50	N90	n_genes	quality	kingdom	phylum	class	order	family	genus	taxonomic_group	host	compartment	soil	alternative_ID	plate_position	acession_number	RSV_V2V4_ID	RSV_V5V7_ID	copy_number_16S
Rhizo2091	Rhizobiales	AtSPHERE		NA	7095460	NA	NA	6741	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Ensifer		Arabidopsis thaliana	Root		Root278			NA	NA	NA
Rhizo4162	Rhizobiales	AgBiome		NA	7304051	NA	NA	7018	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Ensifer		Zea mays	Other (plant)		AIM008294			NA	NA	NA
Rhizo4345	Rhizobiales	AgBiome		NA	7605081	NA	NA	7235	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Ensifer		Zea mays	Root		AIM010738			NA	NA	NA
Rhizo4792	Rhizobiales	AgBiome		NA	7279507	NA	NA	6951	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Ensifer		Zea mays	Soil		AIM016042			NA	NA	NA
Rhizo4791	Rhizobiales	AgBiome		NA	7111115	NA	NA	6825	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Ensifer		Zea mays	Soil		AIM016039			NA	NA	NA
Rhizo4818	Rhizobiales	AgBiome		NA	7465359	NA	NA	7108	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Ensifer		Zea mays	Soil		AIM016698			NA	NA	NA
Rhizo4675	Rhizobiales	AgBiome		NA	7434051	NA	NA	7046	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Ensifer		Other plant	Root		AIM014901			NA	NA	NA
Rhizo4075	Rhizobiales	AgBiome		NA	7312271	NA	NA	6902	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Ensifer		Zea mays	Root		AIM005449			NA	NA	NA
Rhizo4817	Rhizobiales	AgBiome		NA	7158974	NA	NA	6824	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Ensifer		Zea mays	Soil		AIM016696			NA	NA	NA
Rhizo4838	Rhizobiales	AgBiome		NA	7367476	NA	NA	6965	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Ensifer		Soil	Soil		AIM018349			NA	NA	NA
Rhizo4722	Rhizobiales	AgBiome		NA	5342299	NA	NA	4941	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Rhizobium lupini		Oryza sativa	Other (plant)		AIM015234			NA	NA	NA
Rhizo4730	Rhizobiales	AgBiome		NA	5419013	NA	NA	5003	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Rhizobium lupini		Oryza sativa	Other (plant)		AIM015258			NA	NA	NA
Rhizo4672	Rhizobiales	AgBiome		NA	4992935	NA	NA	4663	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Rhizobium lupini		Zea mays	Other (plant)		AIM014796			NA	NA	NA
Rhizo4740	Rhizobiales	AgBiome		NA	4993203	NA	NA	4632	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Rhizobium lupini		Oryza sativa	Other (plant)		AIM015281			NA	NA	NA
Rhizo4679	Rhizobiales	AgBiome		NA	5372107	NA	NA	4941	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Rhizobium lupini		Glycine max	Other (plant)		AIM014963			NA	NA	NA
Rhizo4801	Rhizobiales	AgBiome		NA	5521154	NA	NA	5112	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Rhizobium lupini		Avena sativa	Other (plant)		AIM016166			NA	NA	NA
Rhizo4710	Rhizobiales	AgBiome		NA	5308037	NA	NA	4922	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Rhizobium lupini		Oryza sativa	Other (plant)		AIM015169			NA	NA	NA
Rhizo4752	Rhizobiales	AgBiome		NA	5135784	NA	NA	4747	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Rhizobium lupini		Avena sativa	Other (plant)		AIM015551			NA	NA	NA
Rhizo4713	Rhizobiales	AgBiome		NA	5646244	NA	NA	5218	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Rhizobium lupini		Oryza sativa	Other (plant)		AIM015178			NA	NA	NA
Rhizo4716	Rhizobiales	AgBiome		NA	4923529	NA	NA	4604	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Rhizobium lupini		Oryza sativa	Other (plant)		AIM015192			NA	NA	NA
Rhizo3003	Rhizobiales	NCBI		NA	5573770	NA	NA	5306	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium					H13-3			NA	NA	NA
Rhizo3007	Rhizobiales	NCBI		NA	5736672	NA	NA	5458	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium					5A			NA	NA	NA
Rhizo4066	Rhizobiales	AgBiome		NA	5651879	NA	NA	5341	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM005164			NA	NA	NA
Rhizo4371	Rhizobiales	AgBiome		NA	5834748	NA	NA	5586	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM011144			NA	NA	NA
Rhizo4073	Rhizobiales	AgBiome		NA	5840296	NA	NA	5574	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM005374			NA	NA	NA
Rhizo4079	Rhizobiales	AgBiome		NA	5753053	NA	NA	5499	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM005572			NA	NA	NA
Rhizo4376	Rhizobiales	AgBiome		NA	5874017	NA	NA	5589	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM011252			NA	NA	NA
Rhizo4010	Rhizobiales	AgBiome		NA	5918796	NA	NA	5628	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM002385			NA	NA	NA
Rhizo4158	Rhizobiales	AgBiome		NA	5804456	NA	NA	5509	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM007830			NA	NA	NA
Rhizo4189	Rhizobiales	AgBiome		NA	5775667	NA	NA	5461	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008766			NA	NA	NA
Rhizo4424	Rhizobiales	AgBiome		NA	5784101	NA	NA	5510	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Avena sativa	Root		AIM012159			NA	NA	NA
Rhizo4368	Rhizobiales	AgBiome		NA	5764413	NA	NA	5493	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM011132			NA	NA	NA
Rhizo4398	Rhizobiales	AgBiome		NA	5837169	NA	NA	5615	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM011710			NA	NA	NA
Rhizo4418	Rhizobiales	AgBiome		NA	5707715	NA	NA	5429	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM011968			NA	NA	NA
Rhizo4425	Rhizobiales	AgBiome		NA	5646942	NA	NA	5367	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Avena sativa	Root		AIM012171			NA	NA	NA
Rhizo4419	Rhizobiales	AgBiome		NA	5757323	NA	NA	5508	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM011970			NA	NA	NA
Rhizo4442	Rhizobiales	AgBiome		NA	5683033	NA	NA	5470	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Avena sativa	Root		AIM012628			NA	NA	NA
Rhizo4132	Rhizobiales	AgBiome		NA	5597809	NA	NA	5286	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007130			NA	NA	NA
Rhizo4128	Rhizobiales	AgBiome		NA	5601312	NA	NA	5287	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007112			NA	NA	NA
Rhizo4103	Rhizobiales	AgBiome		NA	5597906	NA	NA	5280	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007026			NA	NA	NA
Rhizo4441	Rhizobiales	AgBiome		NA	5756739	NA	NA	5493	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Avena sativa	Root		AIM012624			NA	NA	NA
Rhizo4105	Rhizobiales	AgBiome		NA	5600894	NA	NA	5287	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007031			NA	NA	NA
Rhizo4107	Rhizobiales	AgBiome		NA	5598359	NA	NA	5281	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007038			NA	NA	NA
Rhizo4109	Rhizobiales	AgBiome		NA	5599830	NA	NA	5286	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007041			NA	NA	NA
Rhizo4118	Rhizobiales	AgBiome		NA	5597594	NA	NA	5285	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007071			NA	NA	NA
Rhizo4127	Rhizobiales	AgBiome		NA	5598874	NA	NA	5281	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007108			NA	NA	NA
Rhizo4129	Rhizobiales	AgBiome		NA	5599251	NA	NA	5285	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007114			NA	NA	NA
Rhizo4108	Rhizobiales	AgBiome		NA	5600118	NA	NA	5287	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007040			NA	NA	NA
Rhizo4110	Rhizobiales	AgBiome		NA	5599015	NA	NA	5280	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007042			NA	NA	NA
Rhizo4114	Rhizobiales	AgBiome		NA	5602049	NA	NA	5288	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007054			NA	NA	NA
Rhizo4124	Rhizobiales	AgBiome		NA	5601364	NA	NA	5286	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007100			NA	NA	NA
Rhizo4134	Rhizobiales	AgBiome		NA	5600487	NA	NA	5289	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007133			NA	NA	NA
Rhizo4136	Rhizobiales	AgBiome		NA	5598634	NA	NA	5282	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007135			NA	NA	NA
Rhizo4140	Rhizobiales	AgBiome		NA	5601184	NA	NA	5282	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007146			NA	NA	NA
Rhizo4141	Rhizobiales	AgBiome		NA	5599779	NA	NA	5285	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007147			NA	NA	NA
Rhizo4142	Rhizobiales	AgBiome		NA	5601108	NA	NA	5289	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007148			NA	NA	NA
Rhizo4310	Rhizobiales	AgBiome		NA	5635378	NA	NA	5370	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM010465			NA	NA	NA
Rhizo4312	Rhizobiales	AgBiome		NA	5634968	NA	NA	5367	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM010467			NA	NA	NA
Rhizo4313	Rhizobiales	AgBiome		NA	5633295	NA	NA	5373	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM010468			NA	NA	NA
Rhizo4115	Rhizobiales	AgBiome		NA	5599316	NA	NA	5285	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007057			NA	NA	NA
Rhizo4121	Rhizobiales	AgBiome		NA	5601870	NA	NA	5282	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007088			NA	NA	NA
Rhizo4135	Rhizobiales	AgBiome		NA	5598596	NA	NA	5285	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007134			NA	NA	NA
Rhizo4284	Rhizobiales	AgBiome		NA	5681359	NA	NA	5359	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM010137			NA	NA	NA
Rhizo4064	Rhizobiales	AgBiome		NA	5752736	NA	NA	5452	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM005152			NA	NA	NA
Rhizo4090	Rhizobiales	AgBiome		NA	5574257	NA	NA	5271	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM006010			NA	NA	NA
Rhizo4120	Rhizobiales	AgBiome		NA	5600964	NA	NA	5285	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007077			NA	NA	NA
Rhizo4133	Rhizobiales	AgBiome		NA	5600870	NA	NA	5282	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007132			NA	NA	NA
Rhizo4308	Rhizobiales	AgBiome		NA	5633799	NA	NA	5378	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM010463			NA	NA	NA
Rhizo4094	Rhizobiales	AgBiome		NA	5574021	NA	NA	5274	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM006025			NA	NA	NA
Rhizo4111	Rhizobiales	AgBiome		NA	5600643	NA	NA	5278	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007047			NA	NA	NA
Rhizo4117	Rhizobiales	AgBiome		NA	5603102	NA	NA	5288	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007069			NA	NA	NA
Rhizo4119	Rhizobiales	AgBiome		NA	5599136	NA	NA	5283	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007075			NA	NA	NA
Rhizo4296	Rhizobiales	AgBiome		NA	5732169	NA	NA	5414	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM010362			NA	NA	NA
Rhizo4298	Rhizobiales	AgBiome		NA	5733154	NA	NA	5409	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM010370			NA	NA	NA
Rhizo4314	Rhizobiales	AgBiome		NA	5635258	NA	NA	5369	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM010469			NA	NA	NA
Rhizo4078	Rhizobiales	AgBiome		NA	5640475	NA	NA	5346	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM005523			NA	NA	NA
Rhizo4226	Rhizobiales	AgBiome		NA	5678719	NA	NA	5411	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM009852			NA	NA	NA
Rhizo4074	Rhizobiales	AgBiome		NA	5746893	NA	NA	5449	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM005383			NA	NA	NA
Rhizo4285	Rhizobiales	AgBiome		NA	5869149	NA	NA	5593	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM010138			NA	NA	NA
Rhizo4212	Rhizobiales	AgBiome		NA	5673658	NA	NA	5417	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM009813			NA	NA	NA
Rhizo4080	Rhizobiales	AgBiome		NA	5635825	NA	NA	5355	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM005574			NA	NA	NA
Rhizo4355	Rhizobiales	AgBiome		NA	5780163	NA	NA	5642	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM010992			NA	NA	NA
Rhizo4063	Rhizobiales	AgBiome		NA	5579053	NA	NA	5231	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM005142			NA	NA	NA
Rhizo4211	Rhizobiales	AgBiome		NA	5637817	NA	NA	5347	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM009812			NA	NA	NA
Rhizo4528	Rhizobiales	AgBiome		NA	5725803	NA	NA	5445	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM013716			NA	NA	NA
Rhizo4151	Rhizobiales	AgBiome		NA	5620721	NA	NA	5305	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM007761			NA	NA	NA
Rhizo4210	Rhizobiales	AgBiome		NA	5668893	NA	NA	5390	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM009811			NA	NA	NA
Rhizo4396	Rhizobiales	AgBiome		NA	5676165	NA	NA	5387	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM011483			NA	NA	NA
Rhizo4267	Rhizobiales	AgBiome		NA	5682267	NA	NA	5406	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM009975			NA	NA	NA
Rhizo4217	Rhizobiales	AgBiome		NA	5632964	NA	NA	5438	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM009821			NA	NA	NA
Rhizo4566	Rhizobiales	AgBiome		NA	5546136	NA	NA	5277	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Insect	Insect		AIM013986			NA	NA	NA
Rhizo3014	Rhizobiales	NCBI		NA	5570940	NA	NA	5294	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium					P4			NA	NA	NA
Rhizo3013	Rhizobiales	NCBI		NA	5878747	NA	NA	5636	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium					WRT31			NA	NA	NA
Rhizo4225	Rhizobiales	AgBiome		NA	5678988	NA	NA	5509	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM009848			NA	NA	NA
Rhizo2072	Rhizobiales	AtSPHERE		NA	5513853	NA	NA	5266	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Arabidopsis thaliana	Root		Root491			NA	NA	NA
Rhizo3017	Rhizobiales	NCBI		NA	5630690	NA	NA	5322	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium					LBA4213 (Ach5)			NA	NA	NA
Rhizo3035	Rhizobiales	NCBI		NA	5668655	NA	NA	5368	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium					Ach5			NA	NA	NA
Rhizo4137	Rhizobiales	AgBiome		NA	5563363	NA	NA	5268	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Other (plant)		AIM007139			NA	NA	NA
Rhizo4812	Rhizobiales	AgBiome		NA	5238060	NA	NA	4897	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Avena sativa	Soil		AIM016659			NA	NA	NA
Rhizo4844	Rhizobiales	AgBiome		NA	5553860	NA	NA	5265	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Triticum aestivum	Root		AIM022325			NA	NA	NA
Rhizo4408	Rhizobiales	AgBiome		NA	5569501	NA	NA	5283	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM011781			NA	NA	NA
Rhizo4405	Rhizobiales	AgBiome		NA	5725082	NA	NA	5461	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM011776			NA	NA	NA
Rhizo4055	Rhizobiales	AgBiome		NA	5799925	NA	NA	5574	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Glycine max	Root		AIM004105			NA	NA	NA
Rhizo4056	Rhizobiales	AgBiome		NA	5676267	NA	NA	5358	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM004137			NA	NA	NA
Rhizo4057	Rhizobiales	AgBiome		NA	5675969	NA	NA	5358	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM004143			NA	NA	NA
Rhizo4001	Rhizobiales	AgBiome		NA	5673881	NA	NA	5360	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Acer rubrum	Leaf		AIM000243			NA	NA	NA
Rhizo4004	Rhizobiales	AgBiome		NA	5671075	NA	NA	5361	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM000468			NA	NA	NA
Rhizo4003	Rhizobiales	AgBiome		NA	5671864	NA	NA	5370	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM000467			NA	NA	NA
Rhizo4000	Rhizobiales	AgBiome		NA	5667880	NA	NA	5373	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Acer rubrum	Leaf		AIM000241			NA	NA	NA
Rhizo4002	Rhizobiales	AgBiome		NA	5670692	NA	NA	5372	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Acer rubrum	Leaf		AIM000250			NA	NA	NA
Rhizo4420	Rhizobiales	AgBiome		NA	5816738	NA	NA	5616	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM011971			NA	NA	NA
Rhizo4399	Rhizobiales	AgBiome		NA	5875418	NA	NA	5686	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM011718			NA	NA	NA
Rhizo4421	Rhizobiales	AgBiome		NA	5877719	NA	NA	5689	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Root		AIM011973			NA	NA	NA
Rhizo4184	Rhizobiales	AgBiome		NA	5655731	NA	NA	5388	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008710			NA	NA	NA
Rhizo4202	Rhizobiales	AgBiome		NA	5657653	NA	NA	5391	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008877			NA	NA	NA
Rhizo4204	Rhizobiales	AgBiome		NA	5659599	NA	NA	5398	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008906			NA	NA	NA
Rhizo4185	Rhizobiales	AgBiome		NA	5657896	NA	NA	5394	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008716			NA	NA	NA
Rhizo4195	Rhizobiales	AgBiome		NA	5662401	NA	NA	5397	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008787			NA	NA	NA
Rhizo4192	Rhizobiales	AgBiome		NA	5660160	NA	NA	5398	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008773			NA	NA	NA
Rhizo4174	Rhizobiales	AgBiome		NA	5658746	NA	NA	5391	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008676			NA	NA	NA
Rhizo4187	Rhizobiales	AgBiome		NA	5656958	NA	NA	5395	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008761			NA	NA	NA
Rhizo4194	Rhizobiales	AgBiome		NA	5656304	NA	NA	5403	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008782			NA	NA	NA
Rhizo4176	Rhizobiales	AgBiome		NA	5656850	NA	NA	5396	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008684			NA	NA	NA
Rhizo4179	Rhizobiales	AgBiome		NA	5663716	NA	NA	5401	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008692			NA	NA	NA
Rhizo4181	Rhizobiales	AgBiome		NA	7116197	NA	NA	7125	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008702			NA	NA	NA
Rhizo4191	Rhizobiales	AgBiome		NA	5662719	NA	NA	5398	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008772			NA	NA	NA
Rhizo4190	Rhizobiales	AgBiome		NA	7118739	NA	NA	7123	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008767			NA	NA	NA
Rhizo4200	Rhizobiales	AgBiome		NA	5650702	NA	NA	5398	clean	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales		Agrobacterium		Zea mays	Other (plant)		AIM008867			NA	NA	NA
